Nome,Preço,Resistência a água,Câmera,Desempenho,5G,RAM,Armazenamento,Tela,Digital,Bateria
Samsung Galaxy S20 FE Snapd,"2.818,00",sim,bom,bom,sim,6,128,6.5,sim,4500
Xiaomi Mi 9T Pro,"2.299,00",nao,medio,bom,nao,6,64,6.3,sim,4000
Samsung Galaxy S20 FE Snapd - 64GB,"2.418,00",sim,bom,bom,sim,6,64,6.5,sim,4500
Samsung Galaxy A03s,"730,00",nao,medio,ruim,nao,3,32,6.5,sim,5000
Apple iPhone 12 Pro Max - 512GB,"7.439,00",sim,bom,bom,sim,6,512,6.7,sim,3687
Redmi 10,"1.374,00",nao,medio,ruim,nao,4,128,6.5,sim,5000
Apple iPhone 12 Pro - 128GB,"6.992,00",sim,bom,bom,sim,6,128,6.1,sim,2815
Apple iPhone 12 Pro - 64GB,"6.492,00",sim,bom,bom,sim,6,128,6.1,sim,2815
Samsung Galaxy A52s 5G,"1.859,00",sim,bom,medio,sim,6,128,6.5,sim,4500
Samsung Galaxy M30,"1.250,00",nao,medio,medio,nao,3,64,6.4,sim,5000
"Samsung Galaxy A12 Nacho
","1.048,00",nao,medio,medio,nao,3,32,6.5,sim,5000
Samsung Galaxy M10,"932,00",nao,ruim,ruim,nao,2,16,6.2,nao,3400
Samsung Galaxy M32,"1.604,00",nao,bom,ruim,nao,6,128,6.4,sim,6000
"Samsung Galaxy M62","1.998,00",nao,bom,bom,nao,8,128,6.7,sim,7000
Apple iPhone SE,"2.649,00",nao,medio,medio,nao,3,256,4.7,sim,1821
"Motorola Moto G60s","1.999,00",nao,bom,ruim,nao,6,128,6.8,sim,5000
"Motorola Edge 20 Pro
","2.499,00",nao,bom,bom,sim,12,256,6.6,sim,4500
Apple iPhone 12 Mini,"4.799,00",sim,bom,bom,sim,4,128,5.4,sim,2227
"Motorola Edge 20
","3.599,00",nao,bom,medio,sim,8,128,6.6,sim,4000
"Poco X3 GT
","1.954,00",nao,bom,medio,nao,8,256,6.6,sim,5000
Samsung Galaxy M32,"1.604,00",nao,medio,medio,nao,6,128,6.4,sim,6000
"Samsung Galaxy M21 2021","1.376,00",nao,bom,medio,nao,4,64,6.4,sim,6000
Redmi Note 8 2021,"1.130,00",nao,ruim,medio,nao,4,128,6.3,nao,4000
"Motorola Moto G Stylus 5G","1.529,00",nao,bom,medio,sim,6,256,6.8,sim,5000
Samsung Galaxy A22,"1.178,00",nao,bom,ruim,nao,4,128,6.4,sim,5000
"Samsung Galaxy M12","944,00",nao,medio,medio,nao,4,64,6.5,sim,5000
"Redmi Note 8 2021","1.130,00",nao,medio,ruim,nao,4,128,6.3,sim,4000
Redmi 10,"1.549,00",nao,medio,medio,sim,4,128,6.5,sim,5000
"Motorola Moto G20
","1.118,00",nao,bom,medio,nao,4,64,6.5,sim,5000
"Nokia X20","3.340,00",nao,bom,medio,sim,6,128,6.6,sim,4470
Samsung Galaxy Z Flip 3 5G,"7.799,00",sim,bom,bom,sim,8,256,6.7,sim,3300
"Motorola Moto G100","2.636,00",sim,bom,bom,sim,12,256,6.7,sim,5000
Poco X3 Pro,"1.687,00",nao,bom,medio,nao,6,128,6.7,sim,5160
"Samsung Galaxy A52 5G","2.635,00",sim,bom,medio,sim,6,128,6.5,sim,4500
"Samsung Galaxy A72","1.998,00",sim,bom,medio,nao,6,128,6.7,sim,5000
Asus Zenfone 8 Flip,"5.679,00",sim,bom,bom,sim,8,256,6.6,sim,5000
"Motorola Moto G10 Power","1.141,00",nao,medio,medio,nao,4,64,6.5,nao,6000
"Redmi Note 10 Pro Max","2.522,00",nao,bom,medio,nao,6,128,6.6,sim,5020
"Redmi Note 10S
","1.462,00",nao,bom,ruim,nao,6,128,6.4,sim,5000
"Samsung Galaxy A32","1.438,00",nao,bom,ruim,nao,6,4,6.4,sim,5000
